ANOMALY DETECTED: {'src_ip': '142.251.39.42', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 443, 'dst_p': 60620, 'timestamp': '2025-05-11 17:15:49.305050'}
ANOMALY DETECTED: {'src_ip': '35.186.224.45', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 54054, 'timestamp': '2025-05-11 17:15:49.512010'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '162.159.138.234', 'protocol': 'TCP', 'src_p': 59334, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:49.744425'}
ANOMALY DETECTED: {'src_ip': '162.159.138.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 59334, 'timestamp': '2025-05-11 17:15:49.791235'}
ANOMALY DETECTED: {'src_ip': '199.232.17.91', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60261, 'timestamp': '2025-05-11 17:15:51.280740'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '74.125.128.84', 'protocol': 'TCP', 'src_p': 60260, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:51.298472'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '172.67.68.36', 'protocol': 'TCP', 'src_p': 60234, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:53.311171'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.39.42', 'protocol': 'UDP', 'src_p': 60620, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:55.228701'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '195.181.175.40', 'protocol': 'TCP', 'src_p': 60274, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:56.041094'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '195.181.175.40', 'protocol': 'TCP', 'src_p': 60274, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:56.041266'}
ANOMALY DETECTED: {'src_ip': '195.181.175.40', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60274, 'timestamp': '2025-05-11 17:15:56.081010'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '195.181.175.40', 'protocol': 'TCP', 'src_p': 60274, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:56.081500'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '195.181.175.40', 'protocol': 'TCP', 'src_p': 60274, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:56.114478'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '13.107.253.45', 'protocol': 'TCP', 'src_p': 60275, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:58.785467'}
ANOMALY DETECTED: {'src_ip': '13.107.253.45', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60275, 'timestamp': '2025-05-11 17:15:58.832907'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '13.107.253.45', 'protocol': 'TCP', 'src_p': 60275, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:58.833904'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '13.107.253.45', 'protocol': 'TCP', 'src_p': 60275, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:58.833989'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '13.107.253.45', 'protocol': 'TCP', 'src_p': 60275, 'dst_p': 443, 'timestamp': '2025-05-11 17:15:58.834073'}
ANOMALY DETECTED: {'src_ip': '142.250.185.227', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60103, 'timestamp': '2025-05-11 17:15:58.977297'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '140.82.114.25', 'protocol': 'TCP', 'src_p': 60146, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:01.553028'}
ANOMALY DETECTED: {'src_ip': '34.120.52.64', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 59708, 'timestamp': '2025-05-11 17:16:01.651966'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '34.120.52.64', 'protocol': 'TCP', 'src_p': 59708, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:01.652363'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '162.159.138.234', 'protocol': 'TCP', 'src_p': 59334, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:03.494458'}
THREAT DETECTED: {'src_ip': '162.159.138.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 59334, 'timestamp': '2025-05-11 17:16:03.540984'}
ANOMALY DETECTED: {'src_ip': '66.22.243.133', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 50001, 'dst_p': 62364, 'timestamp': '2025-05-11 17:16:06.326018'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '66.22.243.133', 'protocol': 'UDP', 'src_p': 62364, 'dst_p': 50001, 'timestamp': '2025-05-11 17:16:06.379997'}
ANOMALY DETECTED: {'src_ip': '142.251.36.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60276, 'timestamp': '2025-05-11 17:16:06.691814'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.36.234', 'protocol': 'TCP', 'src_p': 60276, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:06.692711'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.36.234', 'protocol': 'TCP', 'src_p': 60276, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:06.692988'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.36.234', 'protocol': 'TCP', 'src_p': 60276, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:06.693010'}
THREAT DETECTED: {'src_ip': '142.251.36.234', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60276, 'timestamp': '2025-05-11 17:16:06.731575'}
ANOMALY DETECTED: {'src_ip': '66.22.243.133', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 50001, 'dst_p': 62364, 'timestamp': '2025-05-11 17:16:06.735155'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '66.22.243.133', 'protocol': 'UDP', 'src_p': 62364, 'dst_p': 50001, 'timestamp': '2025-05-11 17:16:07.013619'}
THREAT DETECTED: {'src_ip': '66.22.243.133', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 50001, 'dst_p': 62364, 'timestamp': '2025-05-11 17:16:07.057848'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '104.18.1.181', 'protocol': 'TCP', 'src_p': 59101, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:07.659701'}
ANOMALY DETECTED: {'src_ip': '192.168.0.100', 'dst_ip': '224.0.0.251', 'protocol': 'UDP', 'src_p': 49001, 'dst_p': 5353, 'timestamp': '2025-05-11 17:16:08.609030'}
ANOMALY DETECTED: {'src_ip': '142.251.208.170', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60277, 'timestamp': '2025-05-11 17:16:16.391592'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'TCP', 'src_p': 60277, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.392352'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'TCP', 'src_p': 60277, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.392630'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'TCP', 'src_p': 60277, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.392651'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'TCP', 'src_p': 60277, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.392651'}
ANOMALY DETECTED: {'src_ip': '142.251.208.170', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 443, 'dst_p': 54069, 'timestamp': '2025-05-11 17:16:16.627310'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'UDP', 'src_p': 54069, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.627841'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'UDP', 'src_p': 54069, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.628236'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'UDP', 'src_p': 54069, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.646764'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'UDP', 'src_p': 54069, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.646835'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'TCP', 'src_p': 60278, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.717503'}
